"media/0/media_url","media/0/type"
"https://pbs.twimg.com/media/Ftww9hJXsAAM0eF.jpg","photo"
"https://pbs.twimg.com/media/FtwVf1tX0AIUR48.jpg","photo"
"https://pbs.twimg.com/media/FtwHw8MWcAAS4eV.jpg","photo"
"https://pbs.twimg.com/media/Ftv6B09WAAAOI4v.jpg","photo"
"https://pbs.twimg.com/media/FtvsS8wX0AAvrxW.jpg","photo"
"https://pbs.twimg.com/media/Ftu1XVsWcAAEi83.jpg","photo"
"https://pbs.twimg.com/media/FtuMKqdWwAETr8f.jpg","photo"
"https://pbs.twimg.com/media/FtrnXugXsAEMzEk.jpg","photo"
"https://pbs.twimg.com/media/Ftq-LK3WcAMFefy.jpg","photo"
"https://pbs.twimg.com/media/FtqwcJFWAAMFVnV.jpg","photo"
"https://pbs.twimg.com/media/FtprxuKXgAIX2AB.jpg","photo"
"https://pbs.twimg.com/media/FtpeCxaWIAAnbPN.jpg","photo"
"https://pbs.twimg.com/media/FtpQT6UXoAEpoe3.jpg","photo"
"https://pbs.twimg.com/media/FtoZYQ_WAAAEvud.jpg","photo"
"https://pbs.twimg.com/media/FtnUtvWXgAEUoOI.jpg","photo"
"https://pbs.twimg.com/media/Ftm5P_FWAAMII5c.jpg","photo"
"https://pbs.twimg.com/media/FtmdyOXaAAYeNpU.jpg","photo"
"https://pbs.twimg.com/media/Ftlm2gTWcAEGjdu.jpg","photo"
"https://pbs.twimg.com/media/FtlZHeBWwAE2Kf8.jpg","photo"
"https://pbs.twimg.com/media/FtlLYg_XsAIRF3k.png","photo"
"https://pbs.twimg.com/media/Ftk9p4rWcAIqkrk.jpg","photo"
"https://pbs.twimg.com/media/FtkiLz2XwAEKgiB.jpg","photo"
"https://pbs.twimg.com/media/FtkUc5JWIAEaGDT.jpg","photo"
"https://pbs.twimg.com/media/FtkGuHPaUAIMyqS.jpg","photo"
"https://pbs.twimg.com/media/Fti0UivWIAEIra7.jpg","photo"
"https://pbs.twimg.com/media/FthGdfsWwAgEq5S.jpg","photo"
"https://pbs.twimg.com/media/Ftg4uZ1WAAA1Yqt.jpg","photo"
"https://pbs.twimg.com/media/FtgBy7bWYAEnov0.jpg","photo"
"https://pbs.twimg.com/media/Ftf0D_uWYAEcUxj.jpg","photo"
"https://pbs.twimg.com/media/FtfmVFjX0AAnVu_.jpg","photo"
"https://pbs.twimg.com/media/FtfYmOXXsAE237y.jpg","photo"
"https://pbs.twimg.com/media/Fte9IWxWcAI00Ih.jpg","photo"
"https://pbs.twimg.com/media/FtehqdDWcAYCfkK.jpg","photo"
